lambda_g_km, auc_noise_free, auc_real_LIGO_noise
1.000000000000000000e+13,1.000000000000000000e+00,5.371875000000000400e-01
1.778279410038922656e+13,1.000000000000000000e+00,5.396875000000000977e-01
3.162277660168379297e+13,1.000000000000000000e+00,5.362500000000000044e-01
5.623413251903490625e+13,1.000000000000000000e+00,5.371875000000000400e-01
1.000000000000000000e+14,1.000000000000000000e+00,5.440625000000000044e-01
1.778279410038922812e+14,1.000000000000000000e+00,5.437499999999999556e-01
3.162277660168379375e+14,1.000000000000000000e+00,5.384374999999999023e-01
5.623413251903490625e+14,1.000000000000000000e+00,5.321875000000000355e-01
1.000000000000000000e+15,1.000000000000000000e+00,5.381249999999999645e-01
1.778279410038922750e+15,1.000000000000000000e+00,5.518750000000000044e-01
3.162277660168379500e+15,1.000000000000000000e+00,5.256250000000000089e-01
5.623413251903491000e+15,9.878124999999999822e-01,5.062499999999999778e-01
1.000000000000000000e+16,1.000000000000000000e+00,5.143750000000000266e-01
1.778279410038922800e+16,9.999999999999998890e-01,5.143750000000000266e-01
3.162277660168379200e+16,9.999999999999998890e-01,5.168749999999999734e-01
5.623413251903491200e+16,9.999999999999998890e-01,5.159375000000000488e-01
1.000000000000000000e+17,9.999999999999998890e-01,5.159375000000000488e-01
