lambda_g_km, target_snr, cnn_auc, cnn_ci_lo, cnn_ci_hi, mf_auc, mf_ci_lo, mf_ci_hi, mf_signalonly_auc, mf_signalonly_ci_lo, mf_signalonly_ci_hi
1.000000000000000000e+12,2.000000000000000000e+01,4.697855750487329729e-01,3.812574184334393546e-01,5.543624151185505555e-01,4.750765803397382081e-01,3.860707177924863065e-01,5.620177099311668423e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+12,5.000000000000000000e+01,4.629629629629629095e-01,3.814395547761225136e-01,5.544210049210049895e-01,4.935950988582568089e-01,4.082304167567325504e-01,5.812594329815781169e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+13,2.000000000000000000e+01,4.619883040935672813e-01,3.746684828837952286e-01,5.496284155072836963e-01,4.902534113060429410e-01,3.990245840824903079e-01,5.751988258654924246e-01,1.000000000000000000e+00,9.999999999999998890e-01,1.000000000000000000e+00
1.000000000000000000e+13,5.000000000000000000e+01,4.696463380673907562e-01,3.742303139442894055e-01,5.501426849939086150e-01,4.466722361459204427e-01,3.601775680079763453e-01,5.337863239179028163e-01,1.000000000000000000e+00,9.697690925059345712e-01,1.000000000000000000e+00
1.000000000000000000e+14,2.000000000000000000e+01,4.614313561681983034e-01,3.660600166712975612e-01,5.418647959626683441e-01,4.997215260373155665e-01,4.163515700748265380e-01,5.858556545802333648e-01,9.941520467836257868e-01,9.425714285714286156e-01,9.951336844742127985e-01
1.000000000000000000e+14,5.000000000000000000e+01,4.579504316346422188e-01,3.699308856080268382e-01,5.468655741442198792e-01,4.489000278473962435e-01,3.779217121937482604e-01,5.493923771540958345e-01,1.000000000000000000e+00,9.823162336029983566e-01,1.000000000000000000e+00
1.000000000000000000e+15,2.000000000000000000e+01,4.633806739069896707e-01,3.664794730770815634e-01,5.415593393874644779e-01,4.941520467836257313e-01,4.100511016038359546e-01,5.807251401533105595e-01,9.983291562238931771e-01,9.697599006895881724e-01,1.000000000000000000e+00
1.000000000000000000e+15,5.000000000000000000e+01,4.632414369256474540e-01,3.758494690494690871e-01,5.507185581853545342e-01,4.525201893622946558e-01,3.752030651495454894e-01,5.442263871803041386e-01,9.983291562238931771e-01,9.697599006895881724e-01,1.000000000000000000e+00
1.000000000000000000e+16,2.000000000000000000e+01,4.629629629629629095e-01,3.664779004368449722e-01,5.418856873018905729e-01,4.970760233918128379e-01,4.107000871044252377e-01,5.826826896360098873e-01,9.912280701754385692e-01,9.545454545454545858e-01,1.000000000000000000e+00
1.000000000000000000e+16,5.000000000000000000e+01,4.603174603174603474e-01,3.758022183184109299e-01,5.498515906297768430e-01,4.525201893622946558e-01,3.752030651495454894e-01,5.442263871803041386e-01,9.912280701754385692e-01,9.545454545454545858e-01,1.000000000000000000e+00
