name,gps,mass_1_source,mass_2_source,luminosity_distance_Mpc,network_snr
GW230814_230901,1376089759.8,33.7,28.2,290.0,43.0
GW231226_101520,1387620938.3,40.2,35.1,1180.0,34.7
GW230627_015337,1371866035.8,8.4,5.74,305.0,28.7
GW231028_153006,1382542224.3,94.0,59.0,4200.0,22.4
GW231206_233901,1385941159.5,37.6,28.5,1490.0,21.9
GW231123_135430,1384782888.7,137.0,101.0,2200.0,21.8
GW230927_153832,1379864330.9,21.7,16.6,1190.0,20.3
GW230914_111401,1378725259.7,60.0,37.0,2700.0,17.2
GW230919_215712,1379195850.0,27.3,21.4,1330.0,16.8
GW230628_231200,1372029138.4,32.5,27.0,2260.0,16.4
GW231102_071736,1382944674.4,61.0,42.0,3800.0,15.6
GW240104_164932,1388422190.6,42.3,32.2,1910.0,14.8
GW231224_024321,1387421020.0,9.3,7.31,950.0,14.0
GW230811_032116,1375759294.3,35.4,22.3,2100.0,13.6
GW230924_124453,1379594711.8,28.8,23.2,2400.0,13.5
GW230601_224134,1369694512.1,64.0,44.0,3700.0,13.4
GW230922_020344,1379383442.9,39.3,29.2,1640.0,13.4
GW231231_154016,1388072434.7,22.5,17.2,1070.0,13.4
GW231206_233134,1385940712.5,35.6,28.2,3200.0,12.8
GW231108_125142,1383483120.5,23.2,17.4,2050.0,12.6
GW230922_040658,1379390836.1,76.0,51.0,6500.0,12.5
GW230731_215307,1374875605.9,10.3,7.9,1100.0,12.2
GW230927_043729,1379824667.1,35.0,27.1,3200.0,12.1
GW231020_142947,1381847405.6,12.0,7.4,1230.0,12.0
GW230707_124047,1372768865.3,46.1,36.3,4400.0,11.9
GW231104_133418,1383140076.9,12.2,8.6,1470.0,11.8
GW231001_140220,1380204158.7,76.0,41.0,4400.0,11.5
GW231110_040320,1383624218.2,19.4,12.6,1890.0,11.5
GW230605_065343,1369983241.5,17.4,11.0,1060.0,11.4
GW230624_113103,1371641481.7,27.1,16.1,1930.0,11.4
GW230814_061920,1376029178.5,69.0,42.0,4000.0,11.2
GW230606_004305,1370047403.8,37.6,25.7,2800.0,11.1
GW230824_033047,1376883065.7,53.0,36.0,4700.0,11.1
GW230911_195324,1378497222.2,33.9,21.6,1350.0,11.1
GW230920_071124,1379229102.7,32.4,23.8,2900.0,11.1
GW231005_091549,1380532567.5,28.8,21.2,3800.0,11.0
GW231118_090602,1384333580.0,12.9,7.4,1360.0,11.0
GW231029_111508,1382613326.8,65.0,42.0,3100.0,10.8
GW231118_005626,1384304204.8,20.0,10.8,2190.0,10.7
GW230609_064958,1370328616.3,35.4,25.2,3400.0,10.6
GW230726_002940,1374366598.1,35.6,27.9,2100.0,10.5
GW230904_051013,1377839431.1,10.6,7.1,1030.0,10.5
GW230928_215827,1379973525.1,54.0,29.0,4900.0,10.5
GW231113_200417,1383941075.9,11.6,7.4,1160.0,10.5
GW231005_021030,1380507049.0,84.0,50.0,6300.0,10.4
GW231213_111417,1386501275.9,35.6,27.2,4000.0,10.4
GW240109_050431,1388811889.8,28.7,18.1,1500.0,10.4
GW230608_205047,1370292665.2,48.0,31.0,3500.0,10.2
GW230709_122727,1372940865.2,45.0,30.0,4700.0,10.2
GW231223_032836,1387337334.1,46.0,31.0,4200.0,10.2
GW230702_185453,1372359311.7,40.0,18.0,2500.0,10.1
GW230723_101834,1374142732.4,16.6,10.6,1610.0,10.1
GW230708_230935,1372892993.5,64.0,40.0,3500.0,10.0
GW231114_043211,1383971549.2,22.8,8.2,1390.0,10.0
GW231221_135041,1387201859.3,47.0,29.0,4600.0,10.0
GW231223_202619,1387398397.0,11.1,8.3,890.0,10.0
